Issue key,Issue Link,Summary,Status,Priority,Affect Versions,Created,Commit Count,Commit SHAs,Commit GitHub URLs
HBASE-3332,https://issues.apache.org/jira/browse/HBASE-3332,Regions stuck in transition after RS failure,Closed,Blocker,['0.90.0'],10/Dec/10 19:01,3,36be3882; 8a4261bc; 82bf4dab,https://github.com/apache/hbase/commit/36be388220f11810ac5bb6ce2e40ee98f3e8cf32; https://github.com/apache/hbase/commit/8a4261bcb2e9e69869cc8431c5a7973c5003f3af; https://github.com/apache/hbase/commit/82bf4dab66bfbd8e035937ceb6a8dc76955729a3
HBASE-3263,https://issues.apache.org/jira/browse/HBASE-3263,Stack overflow in AssignmentManager,Closed,Blocker,['0.90.0'],23/Nov/10 07:59,5,dd3195ca; 1674a7ee; c849b4c2; fdc0d7aa; 33822672,https://github.com/apache/hbase/commit/dd3195ca408f1767464dc7fadba882683e65ba0d; https://github.com/apache/hbase/commit/1674a7ee4108bc539b8d6d18fe0485f9b73eb393; https://github.com/apache/hbase/commit/c849b4c26d71508c39c00d1ce4817a3bb9f09d46; https://github.com/apache/hbase/commit/fdc0d7aa4950151109bdd927a300295dcebd03a2; https://github.com/apache/hbase/commit/33822672e93a693a6a4e619d2bccc838036b2d45
HBASE-2645,https://issues.apache.org/jira/browse/HBASE-2645,HLog writer can do 1-2 sync operations after lease has been recovered for split process.,Closed,Blocker,['0.90.4'],01/Jun/10 17:57,3,4cdaf84e; 79b34145; 2803eed3,https://github.com/apache/hbase/commit/4cdaf84ef8dc6fdc14246c43e93a70d34bba82ee; https://github.com/apache/hbase/commit/79b341459a8438aa440add16436c53c039ae5334; https://github.com/apache/hbase/commit/2803eed35e61fc6f53a0b8fd680b2eeab1c20440
HBASE-2457,https://issues.apache.org/jira/browse/HBASE-2457,RS gets stuck compacting region ad infinitum,Closed,Critical,['0.20.4'],16/Apr/10 05:04,4,0491cb14; 0fdb7e9d; db08c9c6; abe90593,https://github.com/apache/hbase/commit/0491cb140a7563f7c4d51eb2aa43d1376f6ea2f3; https://github.com/apache/hbase/commit/0fdb7e9d206f08adbb6c41a66b6b3d191670a36d; https://github.com/apache/hbase/commit/db08c9c6e5cafd256ceb43e7d7f947f11c46915f; https://github.com/apache/hbase/commit/abe9059351352475459423f1b046d4c30d0f750e
HBASE-2378,https://issues.apache.org/jira/browse/HBASE-2378,Bulk insert with multiple reducers broken due to improper ImmutableBytesWritable comparator,Closed,Critical,['0.20.3'],25/Mar/10 19:24,5,3e02fe03; dc0e68b5; 5ee1efce; 5dcc800a; d3e7116b,https://github.com/apache/hbase/commit/3e02fe03d6958687058dc55d8098d5f2a53b4030; https://github.com/apache/hbase/commit/dc0e68b5cb9d6164b5a094a8f8eadd7f2cab1bec; https://github.com/apache/hbase/commit/5ee1efceb3f4946ccdbe84825bf7805a51c10025; https://github.com/apache/hbase/commit/5dcc800ad18784fe057948f539ac5569468678b2; https://github.com/apache/hbase/commit/d3e7116b6ec45bbbc1338f6fdb6700f02f114eab
HBASE-1815,https://issues.apache.org/jira/browse/HBASE-1815,HBaseClient can get stuck in an infinite loop while attempting to contact a failed regionserver,Closed,Major,['0.20.0'],03/Sep/09 22:25,3,f90645dd; 77673377; 90b85dc0,https://github.com/apache/hbase/commit/f90645dd77e160fb0779f711ad7be60d4eddc123; https://github.com/apache/hbase/commit/77673377186c3f46e701de68a0b231e80e049469; https://github.com/apache/hbase/commit/90b85dc0b8edfa0329d1586ea82acec2e2698f74
HBASE-1784,https://issues.apache.org/jira/browse/HBASE-1784,Missing rows after medium intensity insert,Closed,Blocker,['0.20.0'],21/Aug/09 19:52,5,4fdfcaaf; 9c186964; dea3c120; 0393639d; f4d005a0,https://github.com/apache/hbase/commit/4fdfcaaf9f58cb008d9ee6b49484d6eef822464c; https://github.com/apache/hbase/commit/9c1869648c19d0abfdb79aa7c6937eb5568d2f66; https://github.com/apache/hbase/commit/dea3c1207cd0b60ddb3bbda3ae120d5efba97121; https://github.com/apache/hbase/commit/0393639d277d5fe5ad3eb26af7112f90ed373472; https://github.com/apache/hbase/commit/f4d005a0327b7329f84be8cbe6a22c5cf380ad82
HBASE-1629,https://issues.apache.org/jira/browse/HBASE-1629,HRS unable to contact master,Closed,Major,['0.20.0'],08/Jul/09 20:23,2,800f6231; ba78fa6e,https://github.com/apache/hbase/commit/800f623138c7b8576de01a8e953b32d4396d4386; https://github.com/apache/hbase/commit/ba78fa6edc7fb9c4c34f67ba94d3b346e6641ba3
HBASE-1500,https://issues.apache.org/jira/browse/HBASE-1500,KeyValue$KeyComparator array overrun,Closed,Blocker,['0.20.0'],08/Jun/09 23:00,2,0f67b602; 77d5657c,https://github.com/apache/hbase/commit/0f67b602c798ef072c63f108e588758e4dec037f; https://github.com/apache/hbase/commit/77d5657c0455559e991211bc34f3539c4dffb11a
HBASE-1401,https://issues.apache.org/jira/browse/HBASE-1401,close HLog (and open new one) if there hasnt been edits in N minutes/hours,Closed,Blocker,['0.20.0'],10/May/09 22:32,5,b4dedf9c; d25c8da6; b33dfbea; 28c9daff; 56fbdbc0,https://github.com/apache/hbase/commit/b4dedf9cbf44aaa7dafd30299a26242e99972151; https://github.com/apache/hbase/commit/d25c8da619622752299369ec627d57f11d53522f; https://github.com/apache/hbase/commit/b33dfbeaeaad15279d3c82e9a9bdffcfd7bdcead; https://github.com/apache/hbase/commit/28c9daffe5b8a17172bc7b640dc97809d00e9874; https://github.com/apache/hbase/commit/56fbdbc075f77703392f0ed6c81cc8b2a6f0246f
